Index,Neighborhood,Population,"x,y",Population Density/mi^2
1,East Boston,4021,"42.38327523288819, -71.02611414283008",8594
2,Charlestown,5705,"42.38175665397385, -71.06106260307814",12192
3,North End,19765,"42.36559746132575, -71.05550507312861",42240
4,West End,8152,"42.36551595064534, -71.06416564534386",17421
5,Beacon Hill,22354,"42.35657656531004, -71.06937205513822",47771
6,Haymarket,2234,"42.363972270721376, -71.05850290509106",4774
7,Government Center,4367,"42.36087466186575, -71.05900273820956",9332
8,Downtown,2796,"42.35632243299262, -71.05637935592885",5976
9,Downtown Crossing,6709,"42.35565992649525, -71.0593922522814",14337
10,Leather District,12492,"42.35080464657657, -71.05742481329557",26697
11,Chinatown,24484,"42.34958332585444, -71.06204076413123",52323
12,Bay Village,23322,"42.34895616204102, -71.06945121312991",49840
13,Back Bay,12299,"42.35024389844576, -71.07923885090953",26283
14,Fenway-Kenmore,33888,"42.348088232883555, -71.09216566152",72421
15,South End,15124,"42.341412984911706, -71.07032262022922",32321
16,Mission Hill,10593,"42.3315755475871, -71.10584313060119",22637
17,South Boston,5193,"42.33698477367725, -71.04606256569956",11097
18,North Dorchester,6406,"42.302350040340244, -71.06455617455629",13691
19,South Dorchester,7032,"42.303365722956116, -71.06472783593235",15027
20,Roxbury,6931,"42.33202473345718, -71.08405624326265",14811
21,Mattapan,5883,"42.27871150504062, -71.09356671139378",12573
22,Jamaica Plain,4850,"42.314564112591704, -71.11446427767251",10364
23,Hyde Park,3498,"42.258894410197534, -71.12527808599584",7475
24,Roslindale,4622,"42.28503287978238, -71.12653302592012",9877
25,West Roxbury,2639,"42.28032289224898, -71.1596612020891",5640
26,Brighton,7690,"42.35203221953731, -71.16102610911769",16433
27,Allston,8904,"42.35734672232992, -71.1330527359785",19029
