Index,Food Types,Price per unit,PriceFINAL
1,"Milk (regular), (0.25 liter)",0.33,1.32
2,Loaf of Fresh White Bread (125.00 g),1.09,1.09
3,"Rice (white), (0.10 kg)",0.60,6.00
4,Eggs (9),0.87,3.26
5,Local Cheese (0.10 kg),1.95,19.50
6,Chicken Fillets (0.15 kg),2.11,14.07
7,Beef Round (0.15 kg),3.00,20.01
8,Apples (0.30 kg),1.64,5.47
9,Banana (0.25 kg),0.53,2.12
10,Oranges (0.30 kg),1.96,6.53
11,Tomato (0.20 kg),1.39,6.95
12,Potato (0.20 kg),0.95,4.75
13,Onion (0.10 kg),0.37,3.70
14,Lettuce (0.20 head),0.56,2.80
