Index,Agency Name,Address,"x,y"
1,Walmart (MA),"352 Palmer Rd, Ware, MA 01082","42.27235511726213, -72.27767955719561"
2,Walmart (NY),"141 Washington Ave Ext, Albany, NY 12205","42.87743917507031, -73.80906673826352"
3,Target (NY),"Target, 602 W 181st St, New York, NY 10033","40.874259318424464, -73.9314733312668"
4,Costco (NY),"20 Stew Leonard Dr, Yonkers, NY 10710","40.98720119765491, -73.8624625362499"
5,Costco (PA),"791 N Krocks Rd, Allentown, PA 18106","40.62932729188493, -75.5440523528106"
6,Whole Foods,"181 Cambridge St, Boston, MA 02114","42.36578968963123, -71.06485916570179"
7,Target,"7 Allstate Rd, Dorchester, MA 02125","42.33376057288433, -71.0631427343306"
8,Whole Foods (PA),"1563 Fruitville Pike, Lancaster, PA 17601","40.149873509667074, -76.31864719121357"
9,Whole Foods (NH),"1600 Woodbury Ave, Portsmouth, NH 03801","43.11119712354126, -70.79409604982078"
10,Trader Joe's,"44 Thomson Pl, Boston, MA 02210","42.35464847924809, -71.04658037702366"
